source_relative	source_sha256	source_kind	zh_cn
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_01 ＢＥＴＡ大戦.webp	FC4417DAA4886BDDF7A9B49AC633D74DC52B0C5E1A2B578F8B5B9A7324DE4ACD	native_japanese_image	BETA 大战
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_02 西暦1973.webp	2D5EFA788B39A0694684AE5D154E682737DDD231D686B0D5F7D46756653BF1B1	native_japanese_image	——始于1973年的BETA地球侵略势头不减|人类节节败退，被迫不断撤退
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_03 国土を追われた.webp	0076D8CE949A53EEC8123C69FABB0328AAB5C27023C46FAAC76F0E85F166302F	native_japanese_image	被逐出国土的列强将生产基地乃至整个国家迁往欧亚大陆之外
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_04 一度は国土を.webp	F3513D3D3FC10FC78A76B78B21EB2B66A2ACC607D1DA09113926AD548D3F97B0	native_japanese_image	一度夺回国土的日本帝国，也将生产基地迁至东南亚
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_05 それもままならぬ国.webp	1FA4DDC5707D572D9DA633F34CD623C0CE2533E4FB9ECF03041A4CD5249E8793	native_japanese_image	连这也无法做到的国家，其人民则在联合国旗下投身于绝望的战斗
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_06 そして西暦２００４.webp	77FC846A2F2159009BC9A96A4E30C35FF0CC97954C48B8B14C89B1EEBA415AE8	native_japanese_image	而后，2004年2月——
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_07 ３０年の長きに渡る.webp	5D55FEA41B8F3EDED08D0225D5112AF24B8042F6A459598EDCD1442A934E9A94	native_japanese_image	为了结束这场长达三十年的BETA战争|人类发动了一场力求起死回生的大规模反攻作战
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_08 ――その名を『バビロン作戦』.webp	7AE87528E21553D2417C5970201E7AADEE88C52F52BE61302FFFC471E3FAF77D	native_japanese_image	——其名为「巴比伦作战」
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_09 選ばれし十数万人.webp	9CBAC86DA102FA193DDCABBD04E08F59EA4CEA669D5DE2FD6C21DBB73F7EA565	native_japanese_image	搭载十数万名被选中者的移民船团启程前往巴纳德星系|与此同时，五次元效应炸弹——通称G弹——的集中使用|一扫地球上所有巢穴的地表构造物|人类的胜利似乎已近在眼前
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_10 だが、Ｇ弾の一斉起爆.webp	82C70B3B8330CEA140F834653C13AC485C5DE79C045607DBAD9EC5439D058167	native_japanese_image	然而，疑因G弹同时引爆而产生的大规模重力异常|使「巴比伦作战」改名为「巴比伦灾害」
