relative_path	id	source_text_sha256	zh_cn	kind	note
assets/data_spec/adv/game/scr/localized/2005年12月30日_02：朝・駒木と移動中.egpack	tda03_t01317_ruby	BC34C4B73D9762C1F8E474E7089FC22498FB863A007674BBAD1D41B3345A5284		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/2005年12月30日_03：日中・駒木と千堂父.egpack	tda03_t01416_ruby	26B9864C38228998C0E7963551B17F643257361FBDBABB3A77BE8E5F1CEE70AA	改装:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/2005年12月30日_06：夜・エレンと酒場1.egpack	tda03_t01626_ruby	512AEC8C33CB29AA954F215D83B358D13FED7B740BAB6A4E8E1F23B524EBE0EA	这种事:・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/2005年12月30日_06：夜・エレンと酒場1.egpack	tda03_t01628_ruby	255AC5358FEFA6067EFAC6F82D1950857EBA94614B0E2C6501B386D537ED1194	那:・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/2005年12月30日_06：夜・エレンと酒場1.egpack	tda03_t01836_ruby	B7900862ED92F3722611D98099524907F175C26E15D9981D2A56BC9E07A33CFB		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/2005年12月30日_07：夜・エレンと酒場2.egpack	tda03_t01999_ruby	08F673097F1E1D1C7398A48EAFC938B5A8889AE322A78FC18FD48C045CD6CC2D	承认:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/2005年12月31日_01：四カ国会議2日め.egpack	tda03_t02047_ruby	0D2817DDB650DB63A283EE75A2ACE7574D7D123F86EB281EAF502832BECFA1B7		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/2005年12月31日_02：ブリーフィング.egpack	tda03_t02082_ruby	5298FA5BDE5F38EC06ED105D5C794ACE128758F45A84C456C387C92025F5D32D	对宇宙全周防卫据点兵器群:SHADOW	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/2005年12月31日_02：ブリーフィング.egpack	tda03_t02084_ruby	3CAA9BD622EDE07AA66AE6214807110C85EEB3219C9585D4AAE12C41CEAF7388	全周地球防卫核投射卫星群:ARTMISS	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/2005年12月31日_02：ブリーフィング.egpack	tda03_t02088_ruby	48DE0DB16925AD3B0158995365D667F7A7614A06C48608A7453E30BDF0FB9FC8	北美航空航天防御司令部:NORAD	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
