relative_path	id	source_text_sha256	zh_cn	kind	note
assets/data_spec/adv/game/scr/localized/010_序章_響の悪夢01.egpack	game_t00002_ruby	0A53D762A77A49B131F30907363B3D44F55A6052410506ED82247967EAAE61B9		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/020_起_第６次シアトル防衛線01.egpack	game_t00059_ruby	ED6FD290A19192BB037B119432F9A63663CBDC01A31D753638D35A29A0DDFBDC	这次:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/020_起_第６次シアトル防衛線01.egpack	game_t00091_ruby	A68C77CFAFBCB4147DBE40F9869AA70D643B098E4D0DA37B83D9E9EC28ADC461	小队:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/020_起_第６次シアトル防衛線01.egpack	game_t00095_ruby	E7010FCAECF9CEB4FBA9E7EF6F2EFD9CF132611AE5DE4E23843F1B30ED252E09	能用的手段全用上:・・・・・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/020_起_第６次シアトル防衛線01.egpack	game_t00259_ruby	7652A3F874B7414BC09AC4525CDD0B212D2458A35E0BDA3F0EEBC725484CCDC3	预定:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/020_起_第６次シアトル防衛線01.egpack	game_t00292_ruby	701D27F03AD9C7C28EA531904180F16A06D96EA2B27CD7C500C8A5F9FDC112A9	战死:KIA	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/020_起_第６次シアトル防衛線01.egpack	game_t00314_ruby	701D27F03AD9C7C28EA531904180F16A06D96EA2B27CD7C500C8A5F9FDC112A9	战死:KIA	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/020_起_第６次シアトル防衛線01.egpack	game_t00421_ruby	CD182E97D49C1B5ED94B474501050A386616A7F183E8CCFA8FD11BC9F43155B2	把那些家伙赶过去:・・・・・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/020_起_第６次シアトル防衛線01.egpack	game_t00533_ruby	EFE679E11FD813A70E982ECF62E7B5A31715B3414339A2C9844CC0EA6A248FA4	那位:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t00673_ruby	9A5BCB5E5DE15596160D0671570ECED48AD4CE8960877D0F0D7B4FB0C9BAE45F		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t00684_ruby	072237278CB81B21FB6E5CFF5B9A6D9647527B1F739136B266BB4BC1CC14AF17		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t00957_ruby	EFE679E11FD813A70E982ECF62E7B5A31715B3414339A2C9844CC0EA6A248FA4	那位:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t01052_ruby	15783A3052939B46A3619C79ADAA0ACE8DCC9B2542E22D60E3E0A6B4FCDC5FC2		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t01110_ruby	BC34C4B73D9762C1F8E474E7089FC22498FB863A007674BBAD1D41B3345A5284		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t01148_ruby	B978DD19C5E394F3D3993B697111AA47C7F13BEB0228097A08EF0DCC78AC88DB		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t01308_ruby	509D1797E8DD5B84A005D56911A1648025C42D8411DB7753CD8DAD48945B02FB	这:・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t01314_ruby	509D1797E8DD5B84A005D56911A1648025C42D8411DB7753CD8DAD48945B02FB	那:・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/040_承_2005_10_07 デブリーフィング・顔合わせ01.egpack	game_t01418_ruby	FE5D1346AC61EE1CE0F9C496E5A08C573EFEEFD6AB7206C8A07408932EA3DCF9		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/050_承_2005_10_08 軍葬・ハンガー・宿舎01.egpack	game_t01761_ruby	0C13860CEB35F2F6DC4AD558420853707D449C7759B0A2369B99821EF64DEF6C	权利:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/050_承_2005_10_08 軍葬・ハンガー・宿舎01.egpack	game_t02211_ruby	6E88FA4D95B786C69C4FA1E120EE9A70CEF2E979492E2F2FF7898F8347EAEF1E		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/050_承_2005_10_08 軍葬・ハンガー・宿舎01.egpack	game_t02819_ruby	BC34C4B73D9762C1F8E474E7089FC22498FB863A007674BBAD1D41B3345A5284		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/050_承_2005_10_08 軍葬・ハンガー・宿舎01.egpack	game_t02846_ruby	2B2BE79593DF1FE2856A9A5810EF025059BBB67AFBE5F71422D427836E4174CF	这个日本:・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/050_承_2005_10_08 軍葬・ハンガー・宿舎01.egpack	game_t02873_ruby	3AE08086E6ECCF2C8A8C2448FE174480DCE1276347C2CB561F973B9BFAFCFA9E	能用的手段全部用上:・・・・・・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/060_承_2005_10_10 まりも・警備任務プレ01.egpack	game_t03338_ruby	230CF25B6BA0D49DA6BE06C9AD72A3579DE321F2AC9C584AF9D44267A385D513	那边的客人:・・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/060_承_2005_10_10 まりも・警備任務プレ01.egpack	game_t03518_ruby	9BB30AB71A7EBF99BE2351296F2F1D5FE7A7654F968D273D084A9C173241ED5A	从那以后:・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/060_承_2005_10_10 まりも・警備任務プレ01.egpack	game_t03636_ruby	3F99EACB10422ACD47E5BF1AA99738146F585C8BC92A98F0C1461A04D5AFC8C2	警备:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/060_承_2005_10_10 まりも・警備任務プレ01.egpack	game_t03648_ruby	AE614CAF7C03B090E4E047B2327DDEBB9C2728F4D264A64D0B9813D1C24D9B80	下次:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/060_承_2005_10_10 まりも・警備任務プレ01.egpack	game_t03659_ruby	673C662575AAC1D122D4A19947493FE6925481BBF784DF734D2FA4E4123A805D	下次也得注意应付手段:・・・・・・・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/070_承_2005_10_11 物資受取・雫・エレン01.egpack	game_t03985_ruby	DE6EA7E5E23558B1A0C4C551869E4F910F824D2AEF1B96A23BE3249C291CA4A0	那家伙:・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/070_承_2005_10_11 物資受取・雫・エレン01.egpack	game_t04056_ruby	C295633C982C3EDDE832DC3BBE4A363B7452E0460F63969D08C7FA5D4DD92C8C	那么多事:・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/070_承_2005_10_11 物資受取・雫・エレン01.egpack	game_t04279_ruby	981189ABEA6CEFE5949D54632CB5A6A2A5AE5E55899BF3ADE6F91C0D28F1190C	我们的:・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/070_承_2005_10_11 物資受取・雫・エレン01.egpack	game_t04618_ruby	C703A6E0E8F8FC7052E260DEBA3AD5D36A4EE03958AC0CA817801167647B0C7D	佣兵:战犬	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/070_承_2005_10_11 物資受取・雫・エレン01.egpack	game_t04629_ruby	3796B109A3FA125ED650337D8D0F800B3F1AB8D8F6CAE93EC4675FE6B9A47476	那边:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/080_承_2005_10_12 孤児院1回目・まりも不在01.egpack	game_t05121_ruby	910913755E0DB0D7332A4A3ADA3825761E2FF6EB8CCB308B036A39133A42154B		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/080_承_2005_10_12 孤児院1回目・まりも不在01.egpack	game_t05126_ruby	910913755E0DB0D7332A4A3ADA3825761E2FF6EB8CCB308B036A39133A42154B		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
